source_id,first_name,last_name,badge,rescrape_reason
2511-1,Boubacar,Barry,4530,High NULL density
2511-10,Md,Alam,8042,High NULL density
2511-11,Vincent,Cavitolo,20821,High NULL density
2511-12,Md,Alam,8042,High NULL density
2511-13,Omar,Habib,748,High NULL density
2511-14,Joshua,Moscoso,11260,High NULL density
2511-15,Wayne,Isaacs,4998,High NULL density
2511-16,Kiada,Moragne,,High NULL density; Ingest status partial; Partial ingest
2511-17,Wayne,Isaacs,4998,High NULL density
2511-18,Wayne,Isaacs,4998,High NULL density
2511-19,Tina,Shymanski,,High NULL density; Ingest status partial; Partial ingest
2511-2,Jaenice,Smith,7774,High NULL density
2511-4,Jaenice,Smith,7774,High NULL density
2511-5,Jaenice,Smith,7774,High NULL density
2511-6,Vincent,Cavitolo,20821,High NULL density
2511-7,Md,Alam,8042,High NULL density
2511-8,Omar,Habib,748,High NULL density
2511-9,Vincent,Cavitolo,20821,High NULL density
